brand,model,motor,year,price,fuel,mileage
MERCEDES,CLASSE C 4 AMG,4.0 510 AMG S,2020,146890,Essence,26775
MERCEDES,GLA phase 2,1.6 180 122 FASCINATION,2020,37490,Essence,51004
MERCEDES,CLA II SHOOTING BRAKE,2.0 200 D 150 PROGRESSIVE LINE,2021,34860,Diesel,46870
MERCEDES,CLASSE C IV CABRIOLET,2.1 220 D 170,2019,35680,Diesel,79800
MERCEDES,CLASSE E V CABRIOLET,3.0 350 D 258 FASCINATION,2019,71120,Diesel,71125
MERCEDES,CLASSE E V,2.0 200 D 150 FASCINATION,2018,39920,Diesel,31460
MERCEDES,CLASSE C IV,1.6 180 D 116 EXECUTIVE,2018,23740,Diesel,117682
MERCEDES,CLASSE A III phase 2,2.1 200 D 136 BUSINESS EXECUTIVE EDITION,2018,22940,Diesel,80471
MERCEDES,CLA SHOOTING BRAKE,CLASSE SHOOTING BRAKE 180 7-G DCT,2018,27580,Essence,83881
MERCEDES,CLA II SHOOTING BRAKE,1.3 200 163 AMG LINE,2021,40300,Essence,33600
MERCEDES,GLC,2.1 250 D 204 EXECUTIVE,2018,42790,Diesel,58300
MERCEDES,CLASSE CLS III,2.9 350 D 286 LAUNCH EDITION,2019,57600,Diesel,107115
MERCEDES,CLASSE A IV BERLINE,1.5 180 D 116 AMG LINE,2020,31070,Diesel,67800
MERCEDES,GLC,2.1 220 D 170 FASCINATION,2019,43270,Diesel,124000
MERCEDES,CLASSE A IV,1.5 180 D 116 BUSINESS LINE,2020,33730,Diesel,72210
MERCEDES,VITO,116 CDI 163 PRO 9G-TRONIC,2022,52980,Diesel,63156
